project_name,address,city,zip,units,sources,owner_operator,contact_email,multi_program_overlap
Clemens Place,17 OWEN ST,Hartford,06105,585,Section8_Multifamily,Clemens Place CT Limited Partnership,david@optimumpmc.com,No
BELLA VISTA E,315 EASTERN ST,NEW HAVEN,06513,468,Section8_Multifamily,BELLA VISTA REALTY COMPANY - Phase III,jcarabetta@carabetta.com,No
Branford Manor Apts,37 Mather Ave.,Groton,06340,442,Section8_Multifamily,Branford Manor Preservation LP,mfinkle@related.com,No
RIPPOWAM PARK APTS,405 OAKWOOD PL,STAMFORD,,431,LIHTC,,,No
SUMMERFIELD TOWNHOUSES,90-144 SMITH DR,EAST HARTFORD,06118,396,Section8_Multifamily,Summerfield Housing Partners Limited Partnership,Marlene.Campos@vitus.com,No
SQUIRE VILLAGE,48 SPENCER STREET,MANCHESTER,06040,379,LIHTC,,,No
SQUIRE VILLAGE,68 Imperial Drive,MANCHESTER,06040,379,Section8_Multifamily,RAHF Squire Preservation LLC,nathan@rosecompanies.com,No
SHEPHERD PARK,170 SISSON AVE,HARTFORD,06105,372,LIHTC;Section8_Multifamily,Shepherd Park RHF Partners Limited Partnership,perry.glenn@rhf.org,Yes
MILLPOND LP,59 MILL POND RD,BROAD BROOK,06016,360,LIHTC,,,No
Windham Heights Apartments,112-116 SCOTT RD,WILLIMANTIC,06226,350,Section8_Multifamily,Vesta Windham LLC,JGreenblatt@vestacorp.com,No
Davenport-Dunbar Residence,125-135 PUTNAM AVE,HAMDEN,06517,344,Section8_Multifamily,"Davenport Residence, Inc.",mwolak@newhavenct.gov,No
RESIDENCES AT NINTH SQUARE,44 ORANGE ST,NEW HAVEN,06510,335,LIHTC,,,No
"The Towers, formerly Tower I-Tower East",18 Tower Ln,New Haven,06519,328,Section8_Multifamily,NEW HAVENJEWISH COMM. COUNCIL HSN. CORP.,jackie@towerone.org,No
BELLA VISTA A aka VILLAGE PARK I,339 EASTERN ST,NEW HAVEN,06513,328,Section8_Multifamily,VILLAGE PARK I REALTY CO.,JCarabetta@carabetta.com,No
AUGUSTANA HOMES,525 PALISADE AVE,BRIDGEPORT,06610,325,LIHTC;Section8_Multifamily,Augustana Homes Preservation LP,mfinkle@related.com,Yes
RIVER RUN APTS,50 GRAND AVE,NEW HAVEN,06513,325,LIHTC,,,No
SUNSET RIDGE,1 MOUNTAIN RIDGE TER,NEW HAVEN,06513,312,LIHTC,,,No
HUNTINGTON WOODS APTS LP,200 BLAKESLEE ST,BRISTOL,06010,296,LIHTC,,,No
WINTHROP SQUARES PHASES I & II,59 FEDERAL ST,NEW LONDON,06320,295,LIHTC,,,No
Winthrop Square Apts I & II,47 Federal Street,NEW LONDON,06320,295,Section8_Multifamily,Vesta Winthrop LLC,arthur@vestacorp.com,No
WINTHROP SQUARE APARTMENTS,162 F 3 HUNTINGTON STREET,NEW LONDON,06320,294,LIHTC,,,No
VILLAGE PARK II,321 EASTERN STREET,NEW HAVEN,06513,292,Section8_Multifamily,VILLAGE PARK II REALTY COMPANY,jcarabetta@carabetta.com,No
LAUREL ESTATES,2 FARMCREST DR,WATERBURY,06704,277,Section8_Multifamily,Laurel Estates Preservation LLC,jsanchez@lmdp.com,No
DEERFIELD GARDENS,1710 MERIDEN RD,WATERBURY,06705,266,Section8_Multifamily,Deerfield Realty Company,jcarabetta@carabetta.com,No
SANA APARTMENTS,1630 MAIN ST,HARTFORD,06120,256,Section8_Multifamily,"SOC Group II, LP",scarabetta@carabetta.com,No
Bridgeport Towers,199 Yacht St,Bridgeport,06605,252,Section8_Multifamily,"Bridgeport Towers, LLC",Mike@sharpmgmt.com,No
East Farm Village,65 Messina Dr,East Haven,06512,240,Section8_Multifamily,65 Messina Drive LLC,frank@jfamanagement.com,No
Executive Square Apts,100 Executive Sq,Wethersfield,06109,240,Section8_Multifamily,Executive Square Limited Partnership,Gwinn@winnco.com,No
ELM HAVEN RENTAL I,69 WEBSTER ST,NEW HAVEN,06511,236,LIHTC,,,No
HARBOR VIEW TOWERS,376 E Washington Ave,Bridgeport,06608,232,Public_Housing,Housing Authority of the City of Bridgeport,,No
Sunset Gardens,75 Midfield Dr.,Waterbury,06705,231,Section8_Multifamily,SUNSET REALTY  COMPANY,jcarabetta@carabetta.com,No
MEADOW LANDING I,397 MEADOWBROOK CT,WEST HAVEN,06516,230,LIHTC,,,No
COUNTRY VILLAGE APTS,134 DORCHESTER AVE,WATERBURY,06704,229,LIHTC,,,No
Country Village,283 COLONIAL AV,Waterbury,06704,229,Section8_Multifamily,Country Village Apartments LLC,michelle@thecapitalrealty.com,No
"School Apartments, The",50 Bassett Street,New Britain,06051,224,Section8_Multifamily,"School Housing Partners, Limited Partnership",Scott.Langan@vitusgroup.com,No
STONEGATE APARTMENTS,151 Long Swamp Rd,New Britain,06053,216,Section8_Multifamily,CR STONEGATE LIMITED PARTNERSHIP,ssattler@carabetta.com,No
NSA II/Schoolhouse Apts,42  Pine Street,WATERBURY,06704,213,Section8_Multifamily,Schoolhouse Redevelopment Limited Partnership,gwinn@winnco.com,No
SOUTHFORD PARK APTS,NATIONAL DR,WATERBURY,,212,LIHTC,,,No
CHURCH STREET SOUTH APTS,34 Cinque Green,NEW HAVEN,06519,204,Section8_Multifamily,Church Street New Haven LLC,pstandish@northland.com,No
HARBOR TOWERS,60 HANOVER ST,MERIDEN,06451,202,LIHTC;Section8_Multifamily,Harbor L.P.,aan@facboston.com,Yes
Wesley Heights,580 Long Hill Ave.,Shelton,06484,202,Section8_Multifamily,Wesley Heights Inc,jvenoit@masonicare.org,No
SURFSIDE 200 HIGHRISE,200 Oak St,West Haven,06516,201,Public_Housing,West Haven Housing Authority,,No
BAYVIEW TOWERS,300 TRESSER BLVD,STAMFORD,06901,200,LIHTC;Section8_Multifamily,"Bayview Preservation Partners, Limited Partners",fmitchell@nhpfoundation.org,Yes
COLONIAL VILLAGE,24 Monroe St,Norwalk,06854,200,Section8_Multifamily,Norwalk Housing Authority,Kcarlu@norwalkha.org,No
